DATE,COST
2013-11-23,null
2013-11-24,null
2013-11-25,1947
2013-11-26,2036
2013-11-27,1997
2013-11-28,2111
2013-11-29,2164
2013-11-30,null
2013-12-01,null
2013-12-02,2200
2013-12-03,2243
2013-12-04,2218
2013-12-05,2329
2013-12-06,2367
2013-12-07,null
2013-12-08,null
2013-12-09,2394
2013-12-10,2371
2013-12-11,2378
2013-12-12,2486
2013-12-13,2447
2013-12-14,null
2013-12-15,null
2013-12-16,2564
2013-12-17,2419
2013-12-18,2409
2013-12-19,2548
2013-12-20,2541
2013-12-21,null
2013-12-22,null
2013-12-23,2578
2013-12-24,2578
2013-12-25,null
2013-12-26,2589
2013-12-27,2562
2013-12-28,null
2013-12-29,null
2013-12-30,2514
2013-12-31,2514
2014-01-01,null
2014-01-02,2515
2014-01-03,2515
2014-01-04,null
2014-01-05,null
2014-01-06,2530
2014-01-07,2490
2014-01-08,2429
2014-01-09,2412
2014-01-10,2412
2014-01-11,null
2014-01-12,null
2014-01-13,2375
2014-01-14,2375
2014-01-15,2375
2014-01-16,2316
2014-01-17,2316
2014-01-18,null
2014-01-19,null
2014-01-20,2276
2014-01-21,2303
2014-01-22,2270
2014-01-23,2254
2014-01-24,2231
2014-01-25,null
2014-01-26,null
2014-01-27,2242
2014-01-28,2242
2014-01-29,2262
2014-01-30,null
2014-01-31,null
2014-02-01,null
2014-02-02,null
2014-02-03,2250
2014-02-04,2250
2014-02-05,2224
2014-02-06,2233
2014-02-07,2232
2014-02-08,null
2014-02-09,null
2014-02-10,2223
2014-02-11,2207
2014-02-12,2308
2014-02-13,2284
2014-02-14,2284
2014-02-15,null
2014-02-16,null
2014-02-17,2292
2014-02-18,2251
2014-02-19,2254
2014-02-20,2218
2014-02-21,2215
2014-02-22,null
2014-02-23,null
2014-02-24,2231
2014-02-25,2188
2014-02-26,2157
2014-02-27,2131
2014-02-28,2142
2014-03-01,null
2014-03-02,null
2014-03-03,2121
2014-03-04,2132
2014-03-05,2104
2014-03-06,2063
2014-03-07,2043
2014-03-08,null
2014-03-09,null
2014-03-10,2043
2014-03-11,2026
2014-03-12,1973
2014-03-13,1938
2014-03-14,1938
2014-03-15,null
2014-03-16,null
2014-03-17,1937
2014-03-18,1890
2014-03-19,1890
2014-03-20,1918
2014-03-21,1898
2014-03-22,null
2014-03-23,null
2014-03-24,1898
2014-03-25,1888
2014-03-26,1888
2014-03-27,1893
2014-03-28,1866
2014-03-29,null
2014-03-30,null
2014-03-31,1907
2014-04-01,1943
2014-04-02,1968
2014-04-03,1942
2014-04-04,1942
2014-04-05,null
2014-04-06,null
2014-04-07,1945
2014-04-08,1936
2014-04-09,1946
2014-04-10,1965
2014-04-11,1974
2014-04-12,null
2014-04-13,null
2014-04-14,1996
2014-04-15,2007
2014-04-16,2052
2014-04-17,2052
2014-04-18,2018
2014-04-19,null
2014-04-20,null
2014-04-21,1996
2014-04-22,1997
2014-04-23,1997
2014-04-24,2060
2014-04-25,2028
2014-04-26,null
2014-04-27,null
2014-04-28,2016
2014-04-29,2004
2014-04-30,1998
2014-05-01,null
2014-05-02,2022
2014-05-03,null
2014-05-04,null
2014-05-05,null
2014-05-06,null
2014-05-07,2022
2014-05-08,1998
2014-05-09,2019
2014-05-10,null
2014-05-11,null
2014-05-12,2011
2014-05-13,2011
2014-05-14,2011
2014-05-15,2034
2014-05-16,1708
2014-05-17,null
2014-05-18,null
2014-05-19,1728
2014-05-20,1759
2014-05-21,1729
2014-05-22,1701
2014-05-23,1688
2014-05-24,null
2014-05-25,null
2014-05-26,1689
2014-05-27,1694
2014-05-28,1702
2014-05-29,1706
2014-05-30,1738
2014-05-31,null
2014-06-01,null
2014-06-02,1573
2014-06-03,1571
2014-06-04,null
2014-06-05,1607
2014-06-06,null
2014-06-07,null
2014-06-08,null
2014-06-09,1594
2014-06-10,1632
2014-06-11,1647
2014-06-12,1750
2014-06-13,1762
2014-06-14,null
2014-06-15,null
2014-06-16,1769
2014-06-17,1791
2014-06-18,1853
2014-06-19,1915
2014-06-20,1924
2014-06-21,null
2014-06-22,null
2014-06-23,1917
2014-06-24,1959
2014-06-25,1993
2014-06-26,2101
2014-06-27,2112
2014-06-28,null
2014-06-29,null
2014-06-30,2241
2014-07-01,2249
2014-07-02,2288
2014-07-03,2314
2014-07-04,2363
2014-07-05,null
2014-07-06,null
2014-07-07,2388
2014-07-08,2383
2014-07-09,2382
2014-07-10,2542
2014-07-11,2554
2014-07-12,null
2014-07-13,null
2014-07-14,2518
2014-07-15,2569
2014-07-16,2569
2014-07-17,2585
2014-07-18,2641
2014-07-19,null
2014-07-20,null
2014-07-21,2716
2014-07-22,2753
2014-07-23,2807
2014-07-24,2844
2014-07-25,2938
2014-07-26,null
2014-07-27,null
2014-07-28,3006
2014-07-29,3123
2014-07-30,3113
2014-07-31,3306
2014-08-01,null
2014-08-02,null
2014-08-03,null
2014-08-04,3373
2014-08-05,3400
2014-08-06,3431
2014-08-07,3431
2014-08-08,3413
2014-08-09,null
2014-08-10,null
2014-08-11,3394
2014-08-12,3356
2014-08-13,3487
2014-08-14,3456
2014-08-15,null
2014-08-16,null
2014-08-17,null
2014-08-18,3417
2014-08-19,3342
2014-08-20,3331
2014-08-21,3301
2014-08-22,3295
2014-08-23,null
2014-08-24,null
2014-08-25,3335
2014-08-26,3354
2014-08-27,3386
2014-08-28,3374
2014-08-29,3404
2014-08-30,null
2014-08-31,null
2014-09-01,3686
2014-09-02,3621
2014-09-03,3871
2014-09-04,3998
2014-09-05,3998
2014-09-06,null
2014-09-07,null
2014-09-08,null
2014-09-09,null
2014-09-10,null
2014-09-11,4176
2014-09-12,4229
2014-09-13,null
2014-09-14,null
2014-09-15,4094
2014-09-16,null
2014-09-17,3942
2014-09-18,3744
2014-09-19,3515
2014-09-20,null
2014-09-21,null
2014-09-22,3511
2014-09-23,3395
2014-09-24,3330
2014-09-25,3374
2014-09-26,3374
2014-09-27,null
2014-09-28,null
2014-09-29,3247
2014-09-30,3185
2014-10-01,3095
2014-10-02,3017
2014-10-03,null
2014-10-04,null
2014-10-05,null
2014-10-06,2938
2014-10-07,2900
2014-10-08,2890
2014-10-09,null
2014-10-10,2728
2014-10-11,null
2014-10-12,null
2014-10-13,2709
2014-10-14,2632
2014-10-15,2600
2014-10-16,2585
2014-10-17,2507
2014-10-18,null
2014-10-19,null
2014-10-20,2440
2014-10-21,2425
2014-10-22,2432
2014-10-23,2438
2014-10-24,2410
2014-10-25,null
2014-10-26,null
2014-10-27,2280
2014-10-28,2263
2014-10-29,2234
2014-10-30,2282
2014-10-31,2279
2014-11-01,null
2014-11-02,null
2014-11-03,2296
2014-11-04,2289
2014-11-05,2199
2014-11-06,2119
2014-11-07,2091
2014-11-08,null
2014-11-09,null
2014-11-10,2038
2014-11-11,2079
2014-11-12,2052
2014-11-13,1820
2014-11-14,1791
2014-11-15,null
2014-11-16,null
2014-11-17,1837
2014-11-18,1829
2014-11-19,1832
2014-11-20,1868
2014-11-21,1889
2014-11-22,null
2014-11-23,null
2014-11-24,1867
2014-11-25,1853
2014-11-26,1894
2014-11-27,1937
2014-11-28,1937
2014-11-29,null
2014-11-30,null
2014-12-01,null
